Column,Row,Angle,HeadPitch,HeadYaw,SonarLeft,SonarRight,LandmarkDetected,LandmarkID1,Alpha1,Beta1,Width1,Height1,LandmarkID2,Alpha2,Beta2,Width2,Height2,LandmarkID3,Alpha3,Beta3,Width3,Height3,LandmarkID4,Alpha4,Beta4,Width4,Height4
0,2,30,N/A,N/A,0.399999976,0.310000002,TRUE,112,-0.271123976,-0.147982106,0.159435838,0.159435838,108,-0.091343448,-0.146900386,0.132863194,0.132863194,0,0,0,0,0,0,0,0,0,0
0,2,40,N/A,N/A,0.419999987,0.239999995,TRUE,112,-0.003321592,-0.15057829,0.154453471,0.154453471,108,0.168570176,-0.151227325,0.134523988,0.134523988,0,0,0,0,0,0,0,0,0,0
0,2,50,N/A,N/A,0.409999996,0.280000001,TRUE,108,0.450489253,-0.165938988,0.149471089,0.149471089,112,0.264065593,-0.161828399,0.162757412,0.162757412,0,0,0,0,0,0,0,0,0,0
0,2,60,N/A,N/A,0.340000004,0.310000002,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,70,N/A,N/A,0.299999982,0.179999992,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,80,N/A,N/A,0.199999988,0.239999995,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,90,N/A,N/A,0.219999999,0.429999977,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,100,N/A,N/A,0.349999994,0.299999982,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,110,N/A,N/A,0.239999995,0.219999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,120,N/A,N/A,0.280000001,0.310000002,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,130,N/A,N/A,0.280000001,0.299999982,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
